time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates,train/std,train/policy_gradient_loss,train/loss,train/explained_variance,train/learning_rate
174380,28,-7.688579880000001,1013,56,30.41,36.42415979504585,-26.681493920087814,0.01737984,0.2,0.214794921875,840,0.9203532338142395,-0.032091661501908675,13.978330612182617,0.7830228805541992,0.0003
176428,29,-11.954567880000003,1049,56,36.65,29.971019035577775,-26.676001256704332,0.019926125,0.2,0.22021484375,850,0.9205026626586914,-0.03073381034337217,10.123418807983398,0.8158599734306335,0.0003
178476,30,-7.699111039999999,1086,56,31.85,26.73691317141056,-26.6450463116169,0.018504148,0.2,0.206298828125,860,0.9185602068901062,-0.028722558717709033,10.030157089233398,0.8223345875740051,0.0003
180524,31,-4.5760192900000005,1124,56,27.9,29.434553420543672,-26.615122216939927,0.018416803,0.2,0.222607421875,870,0.9180272817611694,-0.026602010407077614,10.509779930114746,0.8347431421279907,0.0003
182572,32,-3.44826687,1162,56,26.75,26.856118828058243,-26.569385677576065,0.021635829,0.2,0.23583984375,880,0.9136245846748352,-0.03169320643355604,8.574328422546387,0.8335349559783936,0.0003
184620,33,-5.44844612,1200,56,26.96,35.41592111885548,-26.48403280377388,0.019787721,0.2,0.241455078125,890,0.9110897779464722,-0.03131589550612261,14.751322746276855,0.7809338569641113,0.0003
186668,34,-3.27928876,1238,56,26.25,23.708198764920233,-26.465540659427642,0.021452127,0.2,0.269384765625,900,0.9127510786056519,-0.032140605564927684,9.367713928222656,0.8297045230865479,0.0003
188716,35,-0.5763070199999999,1276,56,21.4,17.99171176701784,-26.47672258615494,0.023957299,0.2,0.262158203125,910,0.9116992950439453,-0.026336946128867566,5.956923007965088,0.8812198638916016,0.0003
190764,36,-1.50800814,1314,56,22.38,19.71873722374439,-26.45188328027725,0.020034958,0.2,0.275390625,920,0.9113038182258606,-0.024424783363065215,11.280960083007812,0.8904553651809692,0.0003
192812,37,1.3022049800000002,1354,55,19.51,19.443552163243293,-26.425091242790224,0.02078783,0.2,0.272412109375,930,0.9089462161064148,-0.030338612651394214,6.3425750732421875,0.8855556845664978,0.0003
194860,38,-0.09956555999999982,1394,55,22.53,10.916919592767954,-26.32404774427414,0.0311236,0.2,0.3455078125,940,0.9033908843994141,-0.02314385400241008,2.3066792488098145,0.9089434742927551,0.0003
196908,39,-0.08343386000000017,1433,55,21.21,11.25661891028285,-26.23632494211197,0.02783279,0.2,0.283349609375,950,0.900347888469696,-0.03326087239693152,2.777646541595459,0.8930795192718506,0.0003
198956,40,2.1300470299999996,1472,55,18.95,15.782181325554848,-26.231260502338408,0.02350757,0.2,0.264697265625,960,0.9019365310668945,-0.02866451999434503,5.736518383026123,0.8796645402908325,0.0003
201004,41,2.00404964,1512,55,19.32,4.203690649196505,-26.227703696489336,0.031815685,0.2,0.348388671875,970,0.8995953798294067,-0.027976297518762294,1.7915889024734497,0.9475108981132507,0.0003
203052,42,0.7621296300000001,1551,55,19.84,6.109106772020459,-26.16754745841026,0.027180849,0.2,0.294091796875,980,0.8970074653625488,-0.023604387330124155,2.249876022338867,0.9355607628822327,0.0003
205100,43,-0.13795033000000023,1590,55,21.02,12.486177083849906,-26.15775086283684,0.016462827,0.2,0.213330078125,990,0.8994506001472473,-0.025568035551987122,7.217813968658447,0.9062183499336243,0.0003
207148,44,-1.63246769,1629,55,22.43,12.45229301005602,-26.1522774040699,0.021609295,0.2,0.24248046875,1000,0.8967201113700867,-0.028880339809984435,6.475118637084961,0.9049208164215088,0.0003
